Price,Close,High,Low,Open,Volume
Ticker,DBEIL.NS,DBEIL.NS,DBEIL.NS,DBEIL.NS,DBEIL.NS
Date,,,,,
2024-10-28,161.9499969482422,200.0,160.50999450683594,200.0,7640370
2024-10-29,157.25,169.89999389648438,155.0,161.0,2052812
2024-10-31,160.7899932861328,165.2899932861328,160.2100067138672,163.6999969482422,328820
2024-11-01,160.97000122070312,162.38999938964844,160.10000610351562,161.6999969482422,124267
2024-11-04,154.25,162.9499969482422,152.6999969482422,162.9499969482422,553939
2024-11-06,159.00999450683594,162.3000030517578,154.5500030517578,155.8000030517578,631348
2024-11-07,158.74000549316406,165.22000122070312,157.9499969482422,160.0,513600
2024-11-08,155.6999969482422,159.39999389648438,154.63999938964844,158.99000549316406,211588
2024-11-11,153.6999969482422,156.94000244140625,152.89999389648438,155.38999938964844,165684
2024-11-12,150.63999938964844,155.52999877929688,150.0,154.85000610351562,216642
2024-11-13,146.0800018310547,150.50999450683594,144.8000030517578,150.0500030517578,213234
2024-11-14,148.13999938964844,149.75,144.5800018310547,146.35000610351562,156802
2024-11-18,144.27999877929688,149.99000549316406,143.5,148.14999389648438,144267
2024-11-19,144.27000427246094,147.47000122070312,143.0,144.14999389648438,168123
2024-11-21,141.4600067138672,143.50999450683594,139.10000610351562,143.50999450683594,188757
2024-11-22,150.4199981689453,155.44000244140625,140.92999267578125,142.0,314729
2024-11-25,155.77000427246094,158.25,151.61000061035156,154.99000549316406,1367300
2024-11-26,155.9199981689453,157.58999633789062,153.5,155.02000427246094,331290
2024-11-27,157.24000549316406,164.8000030517578,155.61000061035156,157.9499969482422,295832
2024-11-28,160.08999633789062,162.19000244140625,156.4499969482422,157.47999572753906,361634
2024-11-29,171.02000427246094,174.0,160.08999633789062,160.1999969482422,1520269
2024-12-02,169.7899932861328,179.94000244140625,168.0500030517578,170.75,1118297
2024-12-03,169.77999877929688,175.0,169.1699981689453,170.0,398880
2024-12-04,173.17999267578125,179.8000030517578,170.11000061035156,170.6999969482422,631556
2024-12-05,174.89999389648438,178.6999969482422,172.25,175.99000549316406,356492
2024-12-06,193.83999633789062,198.5,183.0,184.4499969482422,5895921
2024-12-09,186.91000366210938,196.39999389648438,185.16000366210938,194.85000610351562,763296
2024-12-10,180.05999755859375,188.1999969482422,178.0,186.89999389648438,572350
2024-12-11,183.85000610351562,189.0,179.00999450683594,179.5500030517578,508225
2024-12-12,191.6699981689453,204.89999389648438,183.6300048828125,185.6999969482422,3986839
2024-12-13,198.7899932861328,206.0,189.0399932861328,190.0,3228813
2024-12-16,198.17999267578125,210.0,196.10000610351562,200.00999450683594,1801919
2024-12-17,192.49000549316406,199.0,192.0,198.0,643076
2024-12-18,196.25,197.7899932861328,191.0,192.14999389648438,658498
2024-12-19,191.80999755859375,195.85000610351562,190.30999755859375,191.35000610351562,559710
2024-12-20,189.60000610351562,204.9499969482422,187.0,193.5,1428147
2024-12-23,186.30999755859375,194.0399932861328,185.0,193.13999938964844,492116
2024-12-24,182.52999877929688,193.17999267578125,181.5500030517578,185.60000610351562,490298
2024-12-26,204.3000030517578,207.0,182.8000030517578,183.05999755859375,2150379
2024-12-27,201.8699951171875,214.0,198.5,207.0,2405000
2024-12-30,190.25999450683594,203.0,189.0,201.99000549316406,711530
2024-12-31,192.82000732421875,194.89999389648438,190.0,190.3000030517578,453129
2025-01-01,193.7100067138672,195.5500030517578,191.49000549316406,193.0,262328
2025-01-02,194.19000244140625,199.89999389648438,192.14999389648438,194.3800048828125,380346
2025-01-03,189.94000244140625,196.39999389648438,189.00999450683594,195.8000030517578,349542
2025-01-06,187.07000732421875,199.6999969482422,184.72000122070312,195.1999969482422,775247
2025-01-07,193.92999267578125,195.10000610351562,187.92999267578125,190.5,250408
2025-01-08,190.27999877929688,196.0,188.27000427246094,195.10000610351562,218723
2025-01-09,183.13999938964844,190.6999969482422,182.25,190.6999969482422,198665
2025-01-10,178.86000061035156,183.25,172.4199981689453,183.1699981689453,338861
2025-01-13,166.8300018310547,177.80999755859375,165.0,175.0,323521
2025-01-14,168.88999938964844,172.19000244140625,166.38999938964844,170.17999267578125,228909
2025-01-15,171.1999969482422,173.39999389648438,164.50999450683594,170.0,244706
2025-01-16,171.92999267578125,176.2899932861328,170.10000610351562,172.0,140090
2025-01-17,170.8300018310547,172.99000549316406,168.97000122070312,172.27999877929688,97795
2025-01-20,173.25,174.0,171.0,171.0,96362
2025-01-21,169.32000732421875,173.8000030517578,169.0,173.8000030517578,111537
