Price,Close,High,Low,Open,Volume
Ticker,GUJTHEM.NS,GUJTHEM.NS,GUJTHEM.NS,GUJTHEM.NS,GUJTHEM.NS
Date,,,,,
2025-02-25,243.4600067138672,269.8500061035156,240.13999938964844,269.8500061035156,33559
2025-02-27,233.6300048828125,255.0,231.1199951171875,243.4600067138672,24659
2025-02-28,218.91000366210938,238.97999572753906,212.92999267578125,238.97999572753906,163276
2025-03-03,238.58999633789062,245.0,208.0,228.72999572753906,109454
2025-03-04,262.70001220703125,264.1000061035156,229.99000549316406,235.0,568219
2025-03-05,272.6300048828125,274.8999938964844,252.00999450683594,258.75,140229
2025-03-06,262.3299865722656,281.69000244140625,260.20001220703125,272.6300048828125,39230
2025-03-07,255.4600067138672,269.70001220703125,252.5,260.5,69388
2025-03-10,248.60000610351562,259.75,246.61000061035156,259.29998779296875,20377
2025-03-11,247.57000732421875,251.69000244140625,236.7100067138672,248.60000610351562,58517
2025-03-12,244.02999877929688,251.02999877929688,233.41000366210938,251.02999877929688,234856
2025-03-13,248.13999938964844,263.0,236.77999877929688,240.35000610351562,107057
2025-03-17,258.17999267578125,273.3999938964844,242.1199951171875,242.1199951171875,144268
2025-03-18,255.16000366210938,273.0,251.75,267.0,100603
2025-03-19,254.60000610351562,269.0,250.0,259.0,80524
2025-03-20,253.50999450683594,259.4800109863281,251.6300048828125,252.00999450683594,326626
2025-03-21,254.33999633789062,257.17999267578125,252.10000610351562,255.25,33668
2025-03-24,289.75,298.70001220703125,256.4100036621094,258.3999938964844,718925
2025-03-25,285.2900085449219,295.0,268.3699951171875,289.5,614103
2025-03-26,286.1400146484375,288.989990234375,280.6199951171875,285.5,162916
2025-03-27,296.29998779296875,300.6199951171875,273.4200134277344,285.0,387109
2025-03-28,281.9100036621094,298.0,277.0,291.8500061035156,79717
2025-04-01,272.0,285.8500061035156,268.1000061035156,277.70001220703125,93390
